Song_ID,Title
2,"Aaraadhike (From ""Ambili"")"
3,"Nenjukkul Peidhidum (From ""Vaaranam Aayiram"")"
4,Snehithane X In My Bed
5,Ek Ladki Ko Dekha
6,Kannaalaney
7,Pookkal Panineer
10,Paattil Ee Paattil
11,Olanjali Kuruvi
16,Kadhal Yaanai
17,Uyire Uyire
18,"Jiya Jale (From ""Dil Se"")"
19,Munbe Vaa
20,"Kuch Kuch Hota Hai (From ""Kuch Kuch Hota Hai"")"
21,Manwa Laage Lofi
22,"Too Shayar Hai, Main Terei Shayari"
23,Tujhe Dekha To
26,Poomuthole
28,Olichirikkaan Vallikkudilonnorukki Vechille
29,Chinna Chinna Asai
31,Malare
33,Pavizham Pol
34,Pudhu Vellai Mazhai
35,Rasathi
38,"Neela Nilave (From ""RDX"")"
47,"Hawayein (From ""Jab Harry Met Sejal"")"
61,Kaathirunnu
67,Kannaam Thumpee (Version 1)
72,"Kesariya (From ""Brahmastra"")"
73,Lalee Lalee
74,Maanathe Maarikurumbe
75,Mandaara Cheppundo
77,Mazhamegham - Dear Comrade
78,"Malare - From ""Premam"""
79,Melle Melle
81,Minna Minunge
82,Mukkathe Penne
87,Kya Usey Behkana
90,"Papa Kehte Hain (From ""Qayamat Se Qayamat Tak"")"
94,Tera Yaar Hoon Main
97,Tum Hi Ho
99,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")"
100,Toote Huye Khwabon Ne
101,Suraj Hua Maddham
105,"Raataan Lambiyan (From ""Shershaah"")"
113,Aye Mere Humsafar
114,AWARA HOON
116,Beqarar Karke Hamen Yun Na Jaiye
117,Chura Liya Hai Tumne
118,"Ek Ladki Bheegi Bhagi Si (From ""Chalti Ka Naam Gaadi"")"
119,Haule Haule
